SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
40,4,0,0,0,0,0,A,Arizona,Arizona,6392017,6392288,6407172,6472643,6554978,6632764,6730413,6829676,6941072,7044008,7158024,7278717
162,4,0,2830,0,0,0,A,Apache Junction city,Arizona,35840,35709,35918,35723,36156,36732,37610,38523,39661,40618,41536,42571
162,4,0,4720,0,0,0,A,Avondale city,Arizona,76238,76132,76232,77279,78718,79745,80726,81924,83288,84742,85715,87931
162,4,0,5770,0,0,0,A,Benson city,Arizona,5105,5103,5126,5186,5132,5040,4951,4909,4863,4839,4859,4880
162,4,0,6260,0,0,0,A,Bisbee city,Arizona,5575,5578,5611,5586,5530,5381,5316,5216,5221,5193,5196,5225
162,4,0,7940,0,0,0,A,Buckeye city,Arizona,50876,50851,51350,52486,54389,56603,59100,61633,64641,68534,74339,79620
162,4,0,8220,0,0,0,A,Bullhead City city,Arizona,39540,39541,39549,39710,39645,39568,39580,39796,39970,40233,40369,40884
162,4,0,9690,0,0,0,A,Camp Verde town,Arizona,10873,10875,10873,10907,10898,10985,11056,11122,11194,11210,11234,11187
162,4,0,10180,0,0,0,A,Carefree town,Arizona,3363,3368,3369,3417,3481,3538,3590,3684,3758,3805,3868,3927
162,4,0,10530,0,0,0,A,Casa Grande city,Arizona,48571,48564,48955,48904,49453,49777,51362,52687,54247,55695,57019,58632
162,4,0,11300,0,0,0,A,Cave Creek town,Arizona,5015,4807,4816,4898,5017,5178,5353,5495,5581,5661,5738,5838
162,4,0,12000,0,0,0,A,Chandler city,Arizona,236123,236157,236454,236834,237660,239888,240888,243679,247845,253599,257186,261165
162,4,0,12840,0,0,0,A,Chino Valley town,Arizona,10817,10817,10810,10796,10808,10880,10972,11047,11203,11703,11991,12375
162,4,0,13890,0,0,0,A,Clarkdale town,Arizona,4097,4039,4035,4021,4024,4048,4090,4141,4203,4282,4340,4391
162,4,0,14380,0,0,0,A,Clifton town,Arizona,3311,3311,3269,3350,3414,3463,3621,3700,3743,3673,3684,3708
162,4,0,14870,0,0,0,A,Colorado City town,Arizona,4821,4820,4820,4829,4824,4801,4785,4818,4823,4834,4851,4836
162,4,0,15500,0,0,0,A,Coolidge city,Arizona,11825,11845,11882,11793,11818,11843,12007,12197,12468,12695,12927,13130
162,4,0,16410,0,0,0,A,Cottonwood city,Arizona,11265,11184,11166,11131,11149,11251,11422,11567,11849,11988,12161,12253
162,4,0,19145,0,0,0,A,Dewey-Humboldt town,Arizona,3894,3896,3897,3886,3899,3923,3957,3978,4034,4065,4104,4137
162,4,0,20050,0,0,0,A,Douglas city,Arizona,17378,17509,17609,17576,16988,16836,16774,16592,16600,16181,15932,16193
162,4,0,20750,0,0,0,A,Duncan town,Arizona,696,696,689,712,728,749,786,804,806,787,785,788
162,4,0,20960,0,0,0,A,Eagar town,Arizona,4885,4891,4914,4924,4934,4946,4909,4853,4865,4873,4893,4941
162,4,0,22220,0,0,0,A,El Mirage city,Arizona,31797,31797,31807,32256,32850,33479,34068,34733,35185,35409,35549,35753
162,4,0,22360,0,0,0,A,Eloy city,Arizona,16631,16665,16824,16957,17270,16841,16555,17822,17355,19190,19339,19625
162,4,0,23620,0,0,0,A,Flagstaff city,Arizona,65870,66006,66088,66071,67913,68090,68609,69966,71149,72037,73762,75038
162,4,0,23760,0,0,0,A,Florence town,Arizona,25536,25452,26187,25802,25955,25059,26263,26041,25880,25879,26896,27422
162,4,0,25300,0,0,0,A,Fountain Hills town,Arizona,22489,22489,22513,22825,23241,23554,23882,24255,24536,24729,24922,25200
162,4,0,25720,0,0,0,A,Fredonia town,Arizona,1314,1329,1332,1321,1315,1319,1322,1319,1319,1306,1297,1281
162,4,0,27050,0,0,0,A,Gila Bend town,Arizona,1922,1921,1922,1946,1980,2005,2028,2054,2073,2081,2087,2100
162,4,0,27400,0,0,0,A,Gilbert town,Arizona,208453,208462,209493,211466,215916,221626,227308,232401,237139,242695,249914,254114
162,4,0,27820,0,0,0,A,Glendale city,Arizona,226721,226172,226236,229304,233588,236869,239964,243103,245903,247784,249955,252381
162,4,0,28030,0,0,0,A,Globe city,Arizona,7532,7515,7525,7497,7387,7348,7336,7315,7341,7361,7336,7347
162,4,0,28380,0,0,0,A,Goodyear city,Arizona,65275,65261,65502,66589,67822,70392,72346,74815,77412,79945,82873,86840
162,4,0,30270,0,0,0,A,Guadalupe town,Arizona,5523,5523,5529,5874,6000,6110,6210,6288,6365,6556,6574,6631
162,4,0,32020,0,0,0,A,Hayden town,Arizona,662,662,660,657,650,648,647,644,633,632,632,631
162,4,0,33280,0,0,0,A,Holbrook city,Arizona,5053,5053,5053,5016,5007,4986,4998,4987,5022,5056,5082,5084
162,4,0,34120,0,0,0,A,Huachuca City town,Arizona,1853,1853,1861,1867,1836,1807,1781,1762,1742,1731,1733,1736
162,4,0,36290,0,0,0,A,Jerome town,Arizona,444,446,445,444,444,447,451,453,455,455,457,455
162,4,0,37200,0,0,0,A,Kearny town,Arizona,1950,1950,1956,1933,1940,1943,1981,2016,2063,2100,2137,2168
162,4,0,37620,0,0,0,A,Kingman city,Arizona,28068,28076,28139,28320,28372,28417,28532,28842,29068,29391,30288,31013
162,4,0,39370,0,0,0,A,Lake Havasu City city,Arizona,52527,52531,52578,52789,52794,52786,53030,53399,53800,54380,55020,55865
162,4,0,41330,0,0,0,A,Litchfield Park city,Arizona,5476,4886,4899,4997,5182,5391,5556,5715,5870,6045,6292,6436
162,4,0,43990,0,0,0,A,Mammoth town,Arizona,1426,1494,1503,1488,1495,1496,1542,1569,1605,1634,1663,1687
162,4,0,44270,0,0,0,A,Marana town,Arizona,34961,34556,34758,35597,36800,38427,40549,41977,43452,44968,46909,49030
162,4,0,44410,0,0,0,A,Maricopa city,Arizona,43482,43488,43686,43866,44030,44814,45543,46109,46914,48002,50028,52127
162,4,0,46000,0,0,0,A,Mesa city,Arizona,439041,440092,440993,447681,456968,464803,473132,481811,490695,500021,507945,518012
162,4,0,46350,0,0,0,A,Miami town,Arizona,1837,1838,1833,1822,1803,1799,1786,1781,1784,1784,1782,1780
162,4,0,49640,0,0,0,A,Nogales city,Arizona,20837,20839,20812,20871,20801,20591,20399,20308,20189,20233,20139,20103
162,4,0,51600,0,0,0,A,Oro Valley town,Arizona,41011,41045,41078,41250,41365,41609,41894,43420,43782,44543,45315,46044
162,4,0,51810,0,0,0,A,Page city,Arizona,7247,7268,7380,7409,7410,7476,7505,7502,7547,7548,7531,7529
162,4,0,52930,0,0,0,A,Paradise Valley town,Arizona,12820,12755,12784,13032,13323,13567,13810,14106,14218,14344,14454,14637
162,4,0,53070,0,0,0,A,Parker town,Arizona,3083,3083,3060,3124,3033,3097,3096,3081,3071,3077,3192,3207
162,4,0,53490,0,0,0,A,Patagonia town,Arizona,913,913,912,916,910,903,897,892,886,886,879,874
162,4,0,53700,0,0,0,A,Payson town,Arizona,15301,15299,15319,15248,15155,15207,15244,15259,15422,15542,15673,15813
162,4,0,54050,0,0,0,A,Peoria city,Arizona,154065,154048,154846,155014,155326,156354,157770,160431,164212,168192,172263,175961
162,4,0,55000,0,0,0,A,Phoenix city,Arizona,1445632,1446691,1449038,1469796,1499274,1526491,1555445,1583690,1612199,1633560,1654675,1680992
162,4,0,55560,0,0,0,A,Pima town,Arizona,2387,2375,2368,2373,2391,2427,2465,2508,2497,2492,2488,2558
162,4,0,55980,0,0,0,A,Pinetop-Lakeside town,Arizona,4282,4282,4284,4279,4276,4262,4278,4277,4310,4360,4425,4469
162,4,0,57380,0,0,0,A,Prescott city,Arizona,39843,39770,39765,39774,39868,40228,40737,41398,42262,42675,43283,44299
162,4,0,57450,0,0,0,A,Prescott Valley town,Arizona,38822,38877,38838,38778,39110,39888,40909,41953,42955,44453,45703,46515
162,4,0,58010,0,0,0,A,Quartzsite town,Arizona,3677,3675,3686,3698,3698,3675,3671,3659,3702,3712,3756,3763
162,4,0,58150,0,0,0,A,Queen Creek town,Arizona,26361,26736,27058,27602,28148,30424,33011,35534,38850,43227,47123,50890
162,4,0,62000,0,0,0,A,Safford city,Arizona,9566,9564,9547,9529,9535,9602,9747,9678,9637,9621,9824,9983
162,4,0,62140,0,0,0,A,Sahuarita town,Arizona,25259,26000,26266,26861,27225,27782,28288,28654,29186,29786,30554,31421
162,4,0,62350,0,0,0,A,St. Johns city,Arizona,3480,3480,3494,3512,3536,3533,3506,3462,3485,3505,3512,3512
162,4,0,63470,0,0,0,A,San Luis city,Arizona,25505,27909,28415,30397,30268,30572,31148,31698,32250,32728,33423,34778
162,4,0,65000,0,0,0,A,Scottsdale city,Arizona,217385,217492,217638,220816,225191,228887,233949,241073,247953,251396,254479,258069
162,4,0,65350,0,0,0,A,Sedona city,Arizona,10031,10034,10039,10002,10016,10088,10227,10271,10349,10333,10320,10339
162,4,0,66470,0,0,0,A,Show Low city,Arizona,10660,10667,10703,10734,10757,10733,10804,10824,10950,11107,11298,11442
162,4,0,66820,0,0,0,A,Sierra Vista city,Arizona,43888,45276,45401,46324,46545,45174,43670,43480,43201,42963,44308,43045
162,4,0,67800,0,0,0,A,Snowflake town,Arizona,5590,5612,5623,5610,5596,5586,5644,5649,5712,5781,5866,5995
162,4,0,68080,0,0,0,A,Somerton city,Arizona,14287,14297,14414,14660,14780,15043,15336,15572,15871,16285,16455,16554
162,4,0,68850,0,0,0,A,South Tucson city,Arizona,5652,5652,5643,5634,5613,5603,5649,5636,5650,5663,5686,5715
162,4,0,68990,0,0,0,A,Springerville town,Arizona,1961,1958,1965,1970,1973,1979,1966,1941,1947,1955,1980,1978
162,4,0,69480,0,0,0,A,Star Valley town,Arizona,2310,2312,2307,2295,2275,2269,2274,2266,2278,2290,2300,2308
162,4,0,71300,0,0,0,A,Superior town,Arizona,2837,2878,2887,2853,2867,2868,2904,2955,3023,3078,3131,3178
162,4,0,71510,0,0,0,A,Surprise city,Arizona,117517,117473,117643,119617,122266,125035,127880,130336,132846,134781,137717,141664
162,4,0,72420,0,0,0,A,Taylor town,Arizona,4112,4105,4107,4099,4097,4087,4111,4111,4148,4186,4253,4321
162,4,0,73000,0,0,0,A,Tempe city,Arizona,161719,161774,162323,164477,168549,170740,175636,179114,184877,185792,191746,195805
162,4,0,73420,0,0,0,A,Thatcher town,Arizona,4865,4826,4836,4824,4835,4884,4987,4949,5000,5004,5106,5200
162,4,0,74190,0,0,0,A,Tolleson city,Arizona,6545,6545,6544,6626,6745,6831,7017,7116,7200,7247,7274,7372
162,4,0,74400,0,0,0,A,Tombstone city,Arizona,1380,1387,1392,1394,1372,1349,1329,1317,1303,1294,1296,1303
162,4,0,77000,0,0,0,A,Tucson city,Arizona,520116,526634,527160,530709,531880,532945,534800,535607,537528,541377,544858,548073
162,4,0,77490,0,0,0,A,Tusayan town,Arizona,A,570,570,566,564,579,583,586,589,584,586,580
162,4,0,81480,0,0,0,A,Wellton town,Arizona,2882,2882,2890,2940,2949,2956,2962,2951,2980,3023,3031,3044
162,4,0,82740,0,0,0,A,Wickenburg town,Arizona,6363,6527,6529,6620,6740,6826,6906,7003,7204,7440,7808,8092
162,4,0,83090,0,0,0,A,Willcox city,Arizona,3757,3754,3762,3768,3712,3653,3612,3570,3509,3505,3524,3533
162,4,0,83160,0,0,0,A,Williams city,Arizona,3023,3039,3045,3028,3027,3066,3105,3118,3159,3174,3228,3248
162,4,0,83790,0,0,0,A,Winkelman town,Arizona,353,356,355,353,349,348,348,346,347,347,351,351
162,4,0,83930,0,0,0,A,Winslow city,Arizona,9655,9661,9708,9638,9403,9448,9563,9537,9602,9418,9411,9338
162,4,0,85400,0,0,0,A,Youngtown town,Arizona,6156,6156,6158,6233,6338,6416,6631,6712,6774,6805,6824,6859
162,4,0,85540,0,0,0,A,Yuma city,Arizona,93064,90717,91328,94241,93701,92998,93624,94155,95259,96399,97648,98285
50,4,1,0,0,0,0,A,Apache County,Arizona,71518,71517,71829,72182,72229,72322,71796,71012,71381,71545,71731,71887
157,4,1,20960,0,0,1,A,Eagar town,Arizona,4885,4891,4914,4924,4934,4946,4909,4853,4865,4873,4893,4941
157,4,1,62350,0,0,1,A,St. Johns city,Arizona,3480,3480,3494,3512,3536,3533,3506,3462,3485,3505,3512,3512
157,4,1,68990,0,0,1,A,Springerville town,Arizona,1961,1958,1965,1970,1973,1979,1966,1941,1947,1955,1980,1978
157,4,1,99990,0,0,1,F,Balance of Apache County,Arizona,61192,61188,61456,61776,61786,61864,61415,60756,61084,61212,61346,61456
50,4,3,0,0,0,0,A,Cochise County,Arizona,131346,131359,131822,133097,132017,129578,127314,126454,125686,124864,126411,125922
157,4,3,5770,0,0,1,A,Benson city,Arizona,5105,5103,5126,5186,5132,5040,4951,4909,4863,4839,4859,4880
157,4,3,6260,0,0,1,A,Bisbee city,Arizona,5575,5578,5611,5586,5530,5381,5316,5216,5221,5193,5196,5225
157,4,3,20050,0,0,1,A,Douglas city,Arizona,17378,17509,17609,17576,16988,16836,16774,16592,16600,16181,15932,16193
157,4,3,34120,0,0,1,A,Huachuca City town,Arizona,1853,1853,1861,1867,1836,1807,1781,1762,1742,1731,1733,1736
157,4,3,66820,0,0,1,A,Sierra Vista city,Arizona,43888,45276,45401,46324,46545,45174,43670,43480,43201,42963,44308,43045
157,4,3,74400,0,0,1,A,Tombstone city,Arizona,1380,1387,1392,1394,1372,1349,1329,1317,1303,1294,1296,1303
157,4,3,83090,0,0,1,A,Willcox city,Arizona,3757,3754,3762,3768,3712,3653,3612,3570,3509,3505,3524,3533
157,4,3,99990,0,0,1,F,Balance of Cochise County,Arizona,52410,50899,51060,51396,50902,50338,49881,49608,49247,49158,49563,50007
50,4,5,0,0,0,0,A,Coconino County,Arizona,134421,134426,134612,134275,136146,136699,137566,138962,140407,141001,142523,143476
157,4,5,23620,0,0,1,A,Flagstaff city,Arizona,65870,66006,66088,66071,67913,68090,68609,69966,71149,72037,73762,75038
157,4,5,25720,0,0,1,A,Fredonia town,Arizona,1314,1329,1332,1321,1315,1319,1322,1319,1319,1306,1297,1281
157,4,5,51810,0,0,1,A,Page city,Arizona,7247,7268,7380,7409,7410,7476,7505,7502,7547,7548,7531,7529
